image1,image2,image3,image4,product_title,short_description,price,Display Size,Generation,Graphics,Maximum Display Resolution,Operation System,Ports and Connectivity,Processor,Processor Speed,Ram,Storage,Free Accessories,Touch Screen,Battery,Color,Insurance,Warranty,description2,Brand,Series,Model,Generation /  Series,Memory,Memory Slots Available,Max Upgradable Memory,DIsplay Size,Display Resolution,Display Type,Display Refresh Rate,Touch Screen availability,Ethernet & Bluetooth,Finger Print Reader,Speakers,Dimensions,Weight,Adapter Info,,Operating System,Bundeled Software,Warranty & Insurance,Bundeled Accessories,EMI Availability
https://www.neostore.com.np/assets/uploads/m2_3.jpg,https://www.neostore.com.np/assets/uploads/m21.jpg,https://www.neostore.com.np/assets/uploads/m2_2.jpg,https://www.neostore.com.np/assets/uploads/m2_3.jpg,Apple Macbook Air - M2 | 8 Core GPU | 8GB | 256GB,"Apple M2 chip with 8‑core CPU, 8‑core GPU, 16‑core Neural Engine 13.6-inch Liquid Retina display with True Tone² 1080p FaceTime HD camera MagSafe 3 charging port Two Thunderbolt / USB 4 ports Support for one external display Magic Keyboard with Touch ID Force Touch trackpad 30W USB-C Power Adapter","Current Price: Rs.139,900, Original Price: Rs.155,000",13.6 Inch,Apple M2,8-core GPU,2560-by-1664 native resolution at 224 pixels per inch,macOS,"MagSafe 3 charging port

3.5 mm headphone jack
Two Thunderbolt / USB 4 ports with support for:


Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)",Apple M1 chip,8-core CPU with 4 performance cores and 4 efficiency cores,8GB,256GB SSD,n/a,No,52.6-watt‑hour lithium‑polymer battery,Space Grey,N/a,1 Year," New to Mac? If you love iPhone, you’ll love Mac. Mac is designed to be just as easy to learn as iPhone. And whether you’re copying text on your phone to paste on your Mac, chatting with friends in Messages, or locating devices with Find My — when you use Mac with iPhone, they work seamlessly together.  Setup is a breeze. Easily move files, apps, and more from your old PC or Mac with Migration Assistant. And if you need any help, Apple Support is always just an online chat, phone call, or in‑store appointment away.  Access files anywhere with iCloud. iCloud lets you store all your photos, contacts, and documents so they’re available on all your devices. Start a to‑do list on your iPhone and check off items on your MacBook Air — and so much more.  Powerful apps built in. Mac comes with apps like FaceTime, Freeform, Photos, and Keynote that let you get to work creating and collaborating on your next big idea.  Mac is built to last. Made with durable recycled aluminum enclosures, Mac laptops are ready for anything. And free macOS software updates can keep your Mac running smoothly and securely for years to come. Yep, Mac does that. It’s not just MacBook Air. Every Mac is designed to be this easy, powerful, and amazing. Let’s be clear. It’s brilliant.  The Liquid Retina display on MacBook Air is a sight to behold, with support for 1 billion colors and up to 2x the resolution of comparable PC laptops. Photos and videos pop with rich contrast and sharp detail, and text appears supercrisp for easy reading.  High-definition camera. Look your best with the 1080p FaceTime HD camera, whether you’re catching up with friends and family or collaborating with coworkers around the globe.  Immersive sound system. The speakers on MacBook Air support Spatial Audio along with Dolby Atmos, so you can enjoy three-dimensional soundstages for music and movies. Connections on full display. The MagSafe charging cable easily attaches and detaches with magnets, preventing any unintended flights. Two Thunderbolt ports let you connect high-speed accessories and charge your Mac. And the headphone jack supports high‑impedance headphones. With the M2 model, you can access Wi‑Fi 6. Unlock it all with the touch of your finger. ",,,,,,,,,,,,,,,,,,,,,,,,
https://www.neostore.com.np/assets/uploads/m22.jpg,https://www.neostore.com.np/assets/uploads/m2_21.jpg,https://www.neostore.com.np/assets/uploads/m2_31.jpg,https://www.neostore.com.np/assets/uploads/m22.jpg,Apple Macbook Air - M3 | 8 Core GPU | 8GB | 256GB,"Apple M3 8-Core Chip 8GB Unified RAM | 256GB SSD 13.6"" 2560 x 1664 Liquid Retina Display 8-Core GPU | 16-Core Neural Engine Wi-Fi 6E (802.11ax) | Bluetooth 5.3 2 x Thunderbolt / USB4 FaceTime Full HD 1080p Camera Backlit Magic Keyboard Force Touch Trackpad | Touch ID Sensor macOS","Current Price: Rs.165,900, Original Price: Rs.179,900",13.3 Inch,Apple M3,n/a,2560-by-1664 native resolution at 224 pixels per inch,macOS,"MagSafe 3 charging port

3.5 mm headphone jack
Two Thunderbolt / USB 4 ports with support for:


Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)",Apple M3 chip,8-core CPU with 4 performance cores and 4 efficiency cores,8GB,256GB SSD,n/a,No,52.6-watt‑hour lithium‑polymer battery,Space Grey,N/a,1 Year," Lean. Mean. M3 machine. MacBook Air sails through work and play — and the M3 chip brings even greater capabilities to the world’s most popular laptop. With up to 18 hours of battery life,1 you can take the superportable MacBook Air anywhere and blaze through whatever you’re into. Superlight and under half an inch thin, MacBook Air fits easily into your life and is built with the planet in mind. MacBook Air with M3 is made with 50 percent recycled materials — an Apple first. And all MacBook Air laptops have a durable recycled aluminum enclosure. The moment you open your MacBook Air, it’s ready for whatever you throw at it. And no matter how intense the workload, it stays silent thanks to a fanless design. Whether you’re multitasking between apps, editing videos in iMovie, or playing Baldur’s Gate 3 in Game Mode, the M3 chip brings more speed and fluidity to everything you do. MacBook Air with M3 leverages the incredible AI performance of the Neural Engine to deliver intelligent macOS features that enhance productivity and creativity, including powerful camera features, real-time speech to text, and visual understanding. And with access to a broad ecosystem of apps that deliver advanced AI features, users can do everything from checking their homework with AI Math Assistance in Goodnotes, to automatically enhancing photos in Pixelmator Pro, to removing background noise from a video using CapCut. New to Mac? If you love iPhone, you’ll love Mac. Mac is designed to be just as easy to learn as iPhone. And whether you’re copying text on your phone to paste on your Mac, chatting with friends in Messages, or locating devices with Find My — when you use Mac with iPhone, they work seamlessly together.  Setup is a breeze. Easily move files, apps, and more from your old PC or Mac with Migration Assistant. And if you need any help, Apple Support is always just an online chat, phone call, or in‑store appointment away.  Access files anywhere with iCloud. iCloud lets you store all your photos, contacts, and documents so they’re available on all your devices. Start a to‑do list on your iPhone and check off items on your MacBook Air — and so much more.  Powerful apps built in. Mac comes with apps like FaceTime, Freeform, Photos, and Keynote that let you get to work creating and collaborating on your next big idea.  Mac is built to last. Made with durable recycled aluminum enclosures, Mac laptops are ready for anything. And free macOS software updates can keep your Mac running smoothly and securely for years to come. Yep, Mac does that. It’s not just MacBook Air. Every Mac is designed to be this easy, powerful, and amazing. Let’s be clear. It’s brilliant.  The Liquid Retina display on MacBook Air is a sight to behold, with support for 1 billion colors and up to 2x the resolution of comparable PC laptops. Photos and videos pop with rich contrast and sharp detail, and text appears supercrisp for easy reading.  High-definition camera. Look your best with the 1080p FaceTime HD camera, whether you’re catching up with friends and family or collaborating with coworkers around the globe.  Immersive sound system. The speakers on MacBook Air support Spatial Audio along with Dolby Atmos, so you can enjoy three-dimensional soundstages for music and movies. Connections on full display. The MagSafe charging cable easily attaches and detaches with magnets, preventing any unintended flights. Two Thunderbolt ports let you connect high-speed accessories and charge your Mac. And the headphone jack supports high‑impedance headphones. With the M2 model, you can access Wi‑Fi 6. Unlock it all with the touch of your finger. ",,,,,,,,,,,,,,,,,,,,,,,,
https://www.neostore.com.np/assets/uploads/air.jpg,https://www.neostore.com.np/assets/uploads/air_3.jpg,https://www.neostore.com.np/assets/uploads/air_2.jpg,https://www.neostore.com.np/assets/uploads/air.jpg,Apple MacBook Air M1 8/256GB 13.3-Inch,"Apple Macbook Air 13.3 inch comes with M1 Chip with 8-Core CPU, 7-Core GPU, 8GB, 256GB  Specification:    Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine 8GB unified memory 256GB SSD storage Retina display with True Tone Magic Keyboard Touch ID Force Touch trackpad Two Thunderbolt / USB 4 ports","Current Price: Rs.109,900, Original Price: Rs.119,900",13.3 Inch,Apple M1,n/a,1680 by 1050,macOS,"Thunderbolt / USB 4 ports with support for:

Charging
DisplayPort
Thunderbolt 3 (up to 40Gb/s)
USB 4 (up to 40Gb/s)
USB 3.1 Gen 2 (up to 10Gb/s)
Headphone",Apple M1 chip,8-core CPU with 4 perform­ance cores and 4 efficiency cores,8GB,256GB SSD,n/a,No,Up to 15 hours wireless web,Silver/Space Grey,1 Year,n/a,"Apple Macbook Air M1!  The Apple M1 chip supercharges Apple's thinnest and lightest notebook. Use the blazing-fast 8-core CPU to tackle your projects. With a GPU with up to 7 cores, you can take graphics-intensive programs and games to the next level. With the 16-core Neural Engine, you can speed up machine learning processes. All of this comes with a fanless, silent design and the industry's longest battery life—up to 18 hours. MacBook Air is a laptop computer that runs on Apple's It's still quite portable. Simply put, it's a lot more potent.  Power. It’s in the Air. Our thinnest, lightest notebook, completely transformed by the Apple M1 chip. CPU speeds up to 3.5x faster. GPU speeds up to 5x faster. Our most advanced Neural Engine for up to 9x faster machine learning. The longest battery life ever in a MacBook Air. And a silent, fanless design. This much power has never been this ready to go. Small chip. Giant leap. It's finally here. This is the first chip apple made particularly for Mac. The Apple M1 system on a chip (SoC) merges the CPU, GPU, Neural Engine, I/O, and so much more into a single small device with an incredible 16 billion transistors. With tremendous performance, proprietary innovations, and industry-leading power efficiency, the 1 M1 isn't just a step forward for Mac; it's a whole new level. 8-core CPU Devours tasks. Sips battery. M1 features the most powerful CPU we've ever created. With that type of processing power, the MacBook Air is capable of taking on new, extremely demanding tasks including as professional-quality editing and action-packed gaming. However, the M1's 8-core CPU isn't only 3.5 times faster than the previous generation2; it also mixes high-performance cores with efficiency cores that can still crush common tasks while using a tenth of the power.  All-day battery life Up to 18 hours of battery life. That’s 6 more hours, free of charge. The power of macOS Monterey on M1. macOS Monterey unlocks the potential of the M1 chip and transforms Mac with all-new ways to work and play. Connect, share, and create like never before using FaceTime and Messages. Explore the web on the streamlined Safari, the fastest browser in the world.15 And work across Mac and your other Apple devices with Universal Control.16 macOS Monterey also includes industry-leading privacy features and best‑in‑class security.",,,,,,,,,,,,,,,,,,,,,,,,
https://www.neostore.com.np/assets/uploads/macbook_pro_m3_pro_4.jpg,https://www.neostore.com.np/assets/uploads/macbook_pro_m3_pro_2.jpg,https://www.neostore.com.np/assets/uploads/macbook_pro_m3_pro_3.jpg,https://www.neostore.com.np/assets/uploads/macbook_pro_m3_pro.jpg,Apple Macbook Pro 14 - M3 Pro | 11 Core CPU | 14C GPU | 18GB | 512GB,"M3 Pro 11-Core Chip 14-Core GPU 16-Core Neural Engine 18GB Unified RAM | 512GB SSD 14.2"" 3024 x 1964 Liquid Retina XDR display Wi-Fi 6E (802.11ax) with MU-MIMO Support 3 x USB-C (Thunderbolt 4) / Supports Video Alt Mode and Power Delivery FaceTime Full HD 1080p Camera Backlit Magic Keyboard Force Touch Trackpad | Touch ID Sensor macOS","Current Price: Rs.329,000, Original Price: Rs.",,,Integrated 14-Core,,,3 x USB-C (Thunderbolt 4) / Supports Video Alt Mode and Power Delivery,M3 Pro,,,512GB NVMe SSD,,,"72WHrs, Lithium-Ion Polymer (LiPo)",,,," MacBook Pro features the most advanced lineup of chips ever built for a pro laptop. Phenomenal single- and multithreaded CPU performance, faster unified memory, enhanced machine learning accelerators — the M3 pro gives you the kind of speed and capability you’ve never thought possible. And the powerful Neural Engine makes AI tasks like image upscaling and video caption creation as well as on-device Apple Intelligence features fly.  Next-level graphics performance. Game on. Run graphics-intensive workflows with a responsiveness that keeps up with your imagination. The M3 pro chip features a GPU  that renders images faster, so gaming feels more immersive and realistic than ever. And Dynamic Caching optimizes fast on-chip memory to dramatically increase average GPU utilization — driving a huge performance boost for the most demanding pro apps and games. Apple Intelligence.
Genius at work. Apple Intelligence is the personal intelligence system that helps you write, express yourself, and get things done effortlessly. With groundbreaking privacy protections, it gives you peace of mind that no one else can access your data — not even Apple.  Writing Tools can proofread your text and rewrite different versions until the tone and wording are just right, and summarize selected text with a click.  With an all-new design, richer language understanding, and the ability to type to Siri whenever it’s convenient for you, communicating with Siri is more natural than ever.  Get time-sensitive messages at the top of your inbox, like an invitation for a meeting in an hour or a reminder to check in for your flight. And Mail helps you summarize messages in a snap. Great powers come with great privacy. Apple Intelligence is designed to protect your privacy at every step. It’s integrated into the core of your Mac through on-device processing. So it’s aware of your personal information without collecting your personal information. And with groundbreaking Private Cloud Compute, Apple Intelligence can draw on larger server-based models, running on Apple silicon, to handle more complex requests for you while protecting your privacy.  We can do this all day. And night. The new MacBook Pro has the longest battery life ever in a Mac — up to 24 hours — and supports fast charge, allowing it to charge up to 50 percent in just 30 minutes. All models provide the same performance whether they’re plugged in or not, so you can spend more time thinking about an outlet for your passion, not your laptop. Sharp as a Mac. Tens of thousands of apps are optimized to unlock the full capabilities of macOS — from your go-to productivity apps to your favorite games and hardest-working pro apps. And with the M4 family of chips, these apps just soar.  Get with the program. Run virtual machines and develop code across the stack. Save time with predictive code completion in Xcode. Xcode, Unity Editor, Create ML, TensorFlow, PyTorch, NAG Fortran Compiler, Docker, IntelliJ IDEA, and more.  Handle large image files, no sweat. Edit and retouch photos whether in the studio or on location. Adobe Lightroom, Adobe Photoshop, Affinity Photo 2, Capture One, Pixelmator Pro, Topaz Photo AI, Nik Collection 7, and more.  Multitask like a boss. Create documents and presentations and collaborate across apps and video conferences — and do it all at once. Microsoft 365, Slack, Zoom, Keynote, Omni Productivity Suite, and more.  Bring your imagination to life. Build intricate texturing in 3D artwork, work on complex animations, and render high-resolution scenes. Blender, Octane X, Maxon Cinema 4D, Maxon Redshift, Autodesk Maya, Adobe Substance Painter, Houdini, and more.  No compromises. Security starts with Apple silicon and extends to the macOS architecture. This deep integration of hardware and software along with automatic software updates helps keep MacBook Pro stable and protected for the long term. The security architecture also powers features such as Touch ID, Find My, and advanced defenses that protect against viruses and malware. Touch ID. Unlock your Mac, sign in to apps, and make secure payments with your fingertip. The Secure Enclave keeps your fingerprint data safe. ",Apple,Macbook Pro,Macbook Pro 14 - M3 Pro,-,18GB,-,-,14.2 Inch,3024 x 1964,Mini-LED LCD,120 Hz,No,"Wi-Fi 6E (802.11ax), Bluetooth v. 5.3",Yes,6 Speakers with a Sub-woofer,"12.31 x 8.71 x 0.61"" / 31.27 x 22.12 x 1.55 cm",1.6 kg,70W USB-C Power Adapter,,MacOS,N/a,1 Year Warranty/ Insurance Optional,N/a,Yes
